Filename                                                                                                    Lag      Pseudo R-squ.    Log-Likelihood
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+CC+CG1+CM+CW+Cwd+B+                    lag-1:   0.007608         -4475.1
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+CC+CG1+CM+CW+Cwd+G+P+C+B+              lag-1:   0.1538           -3815.7
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CC+CG1+CM+CW+Cwd+B+              lag-1:   0.01428          -4445.0
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CC+CG1+CM+CW+Cwd+G+P+C+B+        lag-1:   0.1549           -3810.7
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CG1+B+                           lag-1:   0.01187          -4455.9
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CG1+G+P+C+B+                     lag-1:   0.1542           -3814.2
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CM+B+                            lag-1:   0.01148          -4457.7
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+CM+G+P+C+B+                      lag-1:   0.1536           -3816.9
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+Cwd+B+                           lag-1:   0.01398          -4446.4
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+Cwd+G+P+C+B+                     lag-1:   0.1544           -3813.0
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+Y+CC+CG1+CM+CW+Cwd               lag-1:   0.02025          -4418.1
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Pr+Po+Y+CC+CG1+CM+CW+Cwd+G+P+C         lag-1:   0.1592           -3791.4
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Y+CC+CG1+CM+CW+Cwd                     lag-1:   0.01218          -4454.5
all 1964-2026 ZINB-HC0 gdp-LN-avg1 popLN-avg1 sep-host0 sep-close1 H+Y+CC+CG1+CM+CW+Cwd+G+P+C               lag-1:   0.1580           -3796.9
