GDP pc 2011 prices,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.38415503965,,,,1777.74461596151,,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278.07486631016,,,,,,,,,791,,,,,,,,,,,,,,,,,,,,,1436,,,,,,,,,,,,,,,,,,,,,,,,,
1470,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,,,,,,,,,,,,,,,,,,,,,928.233331189661,,,,1724.30571667067,,1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.85739750446,,,,,,,,,791,,,,,,,,,,,,,,,,,,,,,1529,,,,,,,,,,,,,,,,,,,,,,,,,
1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063.08229267045,,,,1577.6974596924,,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237.9679144385,,,,,,,,,789,,,,,,,,,,,,,,,,,,,,,1812,,,,,,,,,,,,,,,,,,,,,,,,,
1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.22542232232,,,,1707.52354590728,,1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335.11586452763,,,,,,,,,792,,,,,,,,,,,,,,,,,,,,,1704,,,,,,,,,,,,,,,,,,,,,,,,,
1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.693228063545,,,,1563.03403077373,,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358.28877005348,,,,,,,,,802,,,,,,,,,,,,,,,,,,,,,1546,,,,,,,,,,,,,,,,,,,,,,,,,
1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.92488319855,,,,1630.73725191424,,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.94117647059,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,1325,,,,,,,,,,,,,,,,,,,,,,,,,
1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135.26348042667,,,,1571.18366337269,,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279.85739750446,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,1366,,,,,,,,,,,,,,,,,,,,,,,,,
1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.86033641354,,,,1549.75962837653,,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.24777183601,,,,,,,,,826,,,,,,,,,,,,,,,,,,,,,1301,,,,,,,,,,,,,,,,,,,,,,,,,
1477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.84856300455,,,,1505.45142259611,,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352.04991087344,,,,,,,,,837,,,,,,,,,,,,,,,,,,,,,1427,,,,,,,,,,,,,,,,,,,,,,,,,
1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.63618961646,,,,1441.77985040626,,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.65953654189,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,1406,,,,,,,,,,,,,,,,,,,,,,,,,
1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365.75809409291,,,,1467.80858591205,,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.72727272727,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,1352,,,,,,,,,,,,,,,,,,,,,,,,,
1480,,,,,,,,,,,,,,,,,,,,,,,,,,,1242,,,,,,,,,,,,,,,,,,,,,1126.07711423317,,,,1574.14652962063,,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2302.13903743316,,,,,,,,,856,,,,,,,,,,,,,,,,,,,,,1366,,,,,,,,,,,,,,,,,,,,,,,,,
1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.06336225503,,,,1408.6856799724,,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.72727272727,,,,,,,,,866,,,,,,,,,,,,,,,,,,,,,1588,,,,,,,,,,,,,,,,,,,,,,,,,
1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.97704790053,,,,1287.96307266799,,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.53475935829,,,,,,,,,885,,,,,,,,,,,,,,,,,,,,,1674,,,,,,,,,,,,,,,,,,,,,,,,,
1483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.21766880556,,,,1280.23747059643,,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197.86096256684,,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,1661,,,,,,,,,,,,,,,,,,,,,,,,,
1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.1126139337,,,,1552.68944864105,,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2252.22816399287,,,,,,,,,869,,,,,,,,,,,,,,,,,,,,,1661,,,,,,,,,,,,,,,,,,,,,,,,,
1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.42243102507,,,,1515.30337229911,,1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222.81639928699,,,,,,,,,861,,,,,,,,,,,,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,,,,,,,
1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.16399739362,,,,1439.26508426185,,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235.29411764706,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,1564,,,,,,,,,,,,,,,,,,,,,,,,,
1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.30761885571,,,,1528.50114469874,,1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2239.7504456328,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,
1488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.52063529447,,,,1442.15270357126,,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248.66310160428,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,1583,,,,,,,,,,,,,,,,,,,,,,,,,
1489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.07201873232,,,,1417.57917062317,,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2214.79500891266,,,,,,,,,842,,,,,,,,,,,,,,,,,,,,,1604,,,,,,,,,,,,,,,,,,,,,,,,,
1490,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,,,,,,,,,,,,,,,,,,,,,1109.97205519999,,,,1484.6576774928,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.72727272727,,,,,,,,,845,,,,,,,,,,,,,,,,,,,,,1503,,,,,,,,,,,,,,,,,,,,,,,,,
1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.6680317485,,,,1492.39970732589,,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.64171122995,,,,,,,,,846,,,,,,,,,,,,,,,,,,,,,1723,,,,,,,,,,,,,,,,,,,,,,,,,
1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.96188470366,,,,1469.62902668606,,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251.33689839572,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,1777,,,,,,,,,,,,,,,,,,,,,,,,,
1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.37194660625,,,,1407.85476640358,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.53297682709,,,,,,,,,846,,,,,,,,,,,,,,,,,,,,,1804,,,,,,,,,,,,,,,,,,,,,,,,,
1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.85244530282,,,,1547.54661937071,,1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2324.42067736185,,,,,,,,,866,,,,,,,,,,,,,,,,,,,,,1502,,,,,,,,,,,,,,,,,,,,,,,,,
1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1229.7735025796,,,,1687.25408325722,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.48663101604,,,,,,,,,885,,,,,,,,,,,,,,,,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,
1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211.18539691372,,,,1692.68166252936,,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278.07486631016,,,,,,,,,897,,,,,,,,,,,,,,,,,,,,,1430,,,,,,,,,,,,,,,,,,,,,,,,,
1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344.15541164906,,,,1620.60359460964,,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.26916221034,,,,,,,,,918,,,,,,,,,,,,,,,,,,,,,1393,,,,,,,,,,,,,,,,,,,,,,,,,
1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404.5295103653,,,,1533.22580711325,,1724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327.0944741533,,,,,,,,,931,,,,,,,,,,,,,,,,,,,,,1374,,,,,,,,,,,,,,,,,,,,,,,,,
1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.42679506265,,,,1566.75804028428,,1728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2360.07130124777,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,1417,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,2338,,,,,,,,,,,,,,,,1207.278,,,,,,,,,,,,,1755.97371059808,,,,,,,1084,1117.99538370814,,,,1669.83682529436,,1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.44206773619,,,,,,,,,944,,,,,,,,,,,,,,,,,,,,,1760,,,,,,,,,,,768,,,,,,,,,,,,,,
1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.77961175975,,,,,,,,1167.65038166502,,,,1501.12511207864,,1633,,,,,,,,,,,,,,,,,,,,,2549.06994558165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.89483065954,,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,1828,,,,,,,,,,,,,,,,,,,,,,,,,
1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.48080106721,,,,,,,,1249.92158228657,,,,1398.87199881743,,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.76827094474,,,,,,,,,960,,,,,,,,,,,,,,,,,,,,,1643,,,,,,,,,,,,,,,,,,,,,,,,,
1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.62261944563,,,,,,,,1179.11938351763,,,,1479.00936602025,,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332.44206773619,,,,,,,,,948,,,,,,,,,,,,,,,,,,,,,1478,,,,,,,,,,,,,,,,,,,,,,,,,
1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.36901026584,,,,,,,,1235.49388821048,,,,1397.73416567423,,1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.39215686274,,,,,,,,,929,,,,,,,,,,,,,,,,,,,,,2144,,,,,,,,,,,,,,,,,,,,,,,,,
1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789.32817529457,,,,,,,,1194.09814749235,,,,1355.20610979044,,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311.05169340463,,,,,,,,,931,,,,,,,,,,,,,,,,,,,,,1819,,,,,,,,,,,,,,,,,,,,,,,,,
1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.34543582924,,,,,,,,1231.9457738803,,,,1513.03536738179,,1776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.48663101604,,,,,,,,,932,,,,,,,,,,,,,,,,,,,,,1980,,,,,,,,,,,,,,,,,,,,,,,,,
1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1826.36968192421,,,,,,,,1315.26178379857,,,,1502.7952221953,,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314.61675579323,,,,,,,,,936,,,,,,,,,,,,,,,,,,,,,1785,,,,,,,,,,,,,,,,,,,,,,,,,
1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.65107973675,,,,,,,,1487.33410402979,,,,1448.63977549448,,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.67557932264,,,,,,,,,937,,,,,,,,,,,,,,,,,,,,,2267,,,,,,,,,,,,,,,,,,,,,,,,,
1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.94532454586,,,,,,,,1469.67040314327,,,,1584.42261437735,,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505.34759358289,,,,,,,,,942,,,,,,,,,,,,,,,,,,,,,2570,,,,,,,,,,,,,,,,,,,,,,,,,
1510,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,,,,,,,,,,,,,1805.63707381777,,,,,,,,1368.18480392827,,,,1589.59650809099,,1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439.39393939394,,,,,,,,,948,,,,,,,,,,,,,,,,,,,,,2255,,,,,,,,,,,,,,,,,,,,,,,,,
1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.33574426727,,,,,,,,1399.07756238819,,,,1588.78088645606,,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508.02139037433,,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,2225,,,,,,,,,,,,,,,,,,,,,,,,,
1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735.67045317402,,,,,,,,1409.32802840685,,,,1411.005961212,,1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585.5614973262,,,,,,,,,952,,,,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,
1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.16259267279,,,,,,,,1460.25640058175,,,,1424.74459300648,,1785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2667.55793226381,,,,,,,,,953,,,,,,,,,,,,,,,,,,,,,2037,,,,,,,,,,,,,,,,,,,,,,,,,
1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.02793218604,,,,,,,,1437.55224081163,,,,1524.38627841001,,1777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2795.90017825312,,,,,,,,,971,,,,,,,,,,,,,,,,,,,,,1728,,,,,,,,,,,,,,,,,,,,,,,,,
1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.03847103901,,,,,,,,1463.03333338205,,,,1458.88700320357,,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2931.37254901961,,,,,,,,,972,,,,,,,,,,,,,,,,,,,,,1779,,,,,,,,,,,,,,,,,,,,,,,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.65122799747,,,,,,,,1424.94287019862,,,,1331.31012662782,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.47237076649,,,,,,,,,974,,,,,,,,,,,,,,,,,,,,,1710,,,,,,,,,,,,,,,,,,,,,,,,,
1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.75508687159,,,,,,,,1462.05505518474,,,,1360.32341596043,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.92513368984,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,1946,,,,,,,,,,,,,,,,,,,,,,,,,
1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709.99907754227,,,,,,,,1412.43888731769,,,,1430.68590782313,,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736.18538324421,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,1819,,,,,,,,,,,,,,,,,,,,,,,,,
1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.50559322998,,,,,,,,1446.26206424221,,,,1410.46380379192,,1784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802.13903743316,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,2267,,,,,,,,,,,,,,,,,,,,,,,,,
1520,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,,,,,,,,,,,,,1724.63794336698,,,,,,,,1381.09510339763,,,,1338.2413537856,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010.69518716578,,,,,,,,,983,,,,,,,,,,,,,,,,,,,,,2418,,,,,,,,,,,,,,,,,,,,,,,,,
1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.28976254204,,,,,,,,1357.65867277689,,,,1340.41311626476,,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.92691622103,,,,,,,,,982,,,,,,,,,,,,,,,,,,,,,2192,,,,,,,,,,,,,,,,,,,,,,,,,
1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712.24563652189,,,,,,,,1353.1373177179,,,,1375.18121710596,,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936.7201426025,,,,,,,,,982,,,,,,,,,,,,,,,,,,,,,2251,,,,,,,,,,,,,,,,,,,,,,,,,
1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.79377398199,,,,,,,,1369.12007941016,,,,1441.68552245079,,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894.83065953654,,,,,,,,,980,,,,,,,,,,,,,,,,,,,,,2181,,,,,,,,,,,,,,,,,,,,,,,,,
1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724.96726454963,,,,,,,,1351.8194403692,,,,1366.94868039614,,1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937.61140819964,,,,,,,,,979,,,,,,,,,,,,,,,,,,,,,1315,,,,,,,,,,,,,,,,,,,,,,,,,
1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734.87219274738,,,,,,,,1288.76503255664,,,,1414.63180299947,,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789.66131907308,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,1532,,,,,,,,,,,,,,,,,,,,,,,,,
1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.92963113515,,,,,,,,1293.86346727246,,,,1525.97028441908,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740.64171122995,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,1519,,,,,,,,,,,,,,,,,,,,,,,,,
1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.30583306082,,,,,,,,1262.12713548982,,,,1417.12786890148,,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854.72370766488,,,,,,,,,968,,,,,,,,,,,,,,,,,,,,,1812,,,,,,,,,,,,,,,,,,,,,,,,,
1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.74162537695,,,,,,,,1244.59119431495,,,,1303.41880829098,,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2539.21568627451,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,
1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.58310563156,,,,,,,,1249.2561531185,,,,1343.06233300171,,1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3213.90374331551,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,1765,,,,,,,,,,,,,,,,,,,,,,,,,
1530,,,,,,,,,,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,,,,1625.5774903918,,,,,,,,1211.32690121096,,,,1329.19149726584,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3388.59180035651,,,,,,,,,961,,,1281.11625967325,,,,,,,,,,,,,,,,,,1561,,,,,,,,,,,,,,,,,,,,,,,,,
1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.89140583091,,,,,,,,1404.1864945886,,,,1238.69210436603,,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3441.17647058824,,,,,,,,,956,,,1382.3548736725,,,,,,,,,,,,,,,,,,1686,,,,,,,,,,,,,,,,,,,,,,,,,
